iter	Passed	Remaining
0	2	409
1	3	367
2	5	344
3	7	347
4	8	346
5	10	347
6	12	342
7	14	336
8	15	326
9	16	320
10	18	315
11	19	310
12	21	306
13	22	303
14	24	306
15	26	301
16	27	296
17	28	292
18	30	291
19	31	287
20	33	285
21	35	285
22	37	287
23	39	291
24	42	297
25	44	298
26	46	299
27	48	298
28	50	298
29	52	298
30	54	298
31	57	300
32	59	300
33	61	298
34	62	296
35	64	294
36	66	291
37	67	289
38	70	288
39	72	290
40	74	287
41	75	285
42	77	283
43	79	280
44	80	277
45	82	274
46	83	271
47	85	269
48	87	268
49	88	266
50	90	263
51	91	260
52	92	257
53	94	255
54	95	252
55	97	249
56	98	246
57	100	244
58	101	243
59	103	241
60	105	239
61	106	237
62	108	235
63	109	233
64	111	231
65	112	228
66	114	227
67	116	225
68	117	223
69	119	222
70	121	220
71	122	217
72	123	215
73	125	213
74	126	211
75	128	208
76	129	207
77	131	205
78	133	203
79	134	202
80	136	200
81	137	198
82	139	196
83	140	194
84	141	192
85	143	190
86	145	188
87	146	186
88	148	184
89	150	183
90	151	181
91	153	179
92	154	178
93	156	176
94	157	174
95	159	172
96	160	170
97	162	168
98	163	166
99	165	165
100	166	163
101	167	161
102	169	159
103	171	158
104	172	156
105	174	154
106	175	152
107	177	151
108	178	149
109	180	147
110	181	145
111	183	144
112	185	142
113	186	140
114	188	138
115	189	137
116	190	135
117	192	133
118	193	131
119	194	129
120	196	128
121	197	126
122	199	124
123	200	123
124	202	121
125	203	119
126	204	117
127	206	116
128	207	114
129	209	112
130	210	110
131	212	109
132	214	107
133	215	106
134	217	104
135	218	102
136	219	101
137	221	99
138	222	97
139	224	96
140	225	94
141	226	92
142	228	91
143	230	89
144	232	88
145	233	86
146	234	84
147	236	82
148	237	81
149	238	79
150	240	77
151	241	76
152	243	74
153	244	73
154	246	71
155	248	69
156	249	68
157	250	66
158	252	65
159	253	63
160	254	61
161	255	60
162	257	58
163	259	56
164	260	55
165	262	53
166	263	52
167	265	50
168	266	48
169	268	47
170	269	45
171	270	44
172	271	42
173	273	40
174	274	39
175	276	37
176	278	36
177	279	34
178	281	32
179	282	31
180	283	29
181	285	28
182	286	26
183	288	25
184	289	23
185	291	21
186	293	20
187	294	18
188	296	17
189	297	15
190	298	14
191	300	12
192	301	10
193	302	9
194	304	7
195	306	6
196	309	4
197	310	3
198	312	1
199	313	0
