Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9689655172413794
CatBoost,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9827586206896551
Logistic Regression,0.9230769230769231,0.9219373219373219,0.9230769230769231,0.9217045220613463,0.9241379310344828
Random Forest,0.9230769230769231,0.9219373219373219,0.9230769230769231,0.9217045220613463,0.9620689655172414
SVM,0.9230769230769231,0.9302884615384616,0.9230769230769231,0.9181811438320597,0.9551724137931035
KNN,0.9230769230769231,0.9219373219373219,0.9230769230769231,0.9217045220613463,0.9637931034482758
Gradient Boosting,0.9230769230769231,0.9268231768231768,0.9230769230769231,0.9242336610757664,0.9689655172413794
LightGBM,0.9230769230769231,0.9219373219373219,0.9230769230769231,0.9217045220613463,0.9517241379310346
Decision Tree,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7982758620689654
Naive Bayes,0.6666666666666666,0.855072463768116,0.6666666666666666,0.6841750841750842,0.8655172413793104
